Nom de l’entreprise	Activité	CA 2012	CA 2013
BIENS EQUIPEMENTS HOTELIERES- BEH	Hotellerie/Commerce	13175	14932
STE REGIONALE TRANSPORT BIZERTE	Transport terrestre	13565	14777
GROUPE ALMIA REFRIGERATION	Industrie	14752	14733
SERVITRADE	Télécommunications	13300	14646
COGITELA (19)	Emballage	10557	14608
REGIE NATIONALE ALCOOLS	I.A.A	13771	14605
MAGHREB INDUSTRIE PLASTIQUES - MAGRIPLAST	Plastique	15972	14599
STE EMBALLAGE SAHEL	Emballage	14716	14295
ISALYS	Textile	10891	14059
SODIMAC (15)	Commerce/Santé	12941	14000
PLASTIC SFAX	Emballage	10110	14000
STE DEMCO	Textile		13997
OVER SEAS TRADING AND CONTRACTING	Commerce	27191	13924
COMPAGNIE FROMAGERE (5)	I.A.A	16700	13871
BEST LEASE	Leasing		13737
GIAS DISTRIBUTION (9)	Commerce	14679	13462
TUNIMA SARL CHAUSSURES	Cuirs/chaussures	11677	13220
TUNISIE MICRO-INFORMATIQUE - TMI	TIC	8976	13154
AMADEUS TUNISIE (6)	Services	13500	13117
VFB LINGERIE TUNISIE	Textile	15357	13015
SMTT (18)	Transport terrestre	11500	13000
CALEMBO	I.A.A	12800	13000
MIS (7)	TIC	16000	13000
PANOBOIS (12)	Ind/Bois	14672	12825
STE IMMOB TOURISTIQUE TUNISIE SITT AFRICA (12)	Tourisme	10504	12772
TUNISIE VALEURS	Finance	11935	12724
SOHATRAM	Transport	9838	12686
STE TNNE CONDITIONNEMENT -STC	I.A.A	12858	12601
CIE PROMOTION IMMOB.TOURISTIQUE- COPIT (3)	Immobilier	12000	12300
SOTRAPIL	Transport/Hydrocarbures	10488	11949
ALMIA REFRIGERATION	Industrie	11551	11929
SEPT MOURADI GAMMARTH (12)	Tourisme	12244	11843
EL KANAOUET	MCCV	10000	11813
BAGUETTE ET BAGUETTE	I.A.A	13382	11772
AMC ERNST & YOUNG	Audit/Conseil	10400	11700
STE HOT MOURADI GOLF- MOURADI PALACE (12)	Tourisme	10504	11694
STE SODINCO (8)	Industrie	11234	11365
GENERAL INDUS FILTRES - GIF (7)	I.E.E		11300
