Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
261	STE ATHIR SERVICE	Services		24000
262	STE MAGHREBINE EQUIPEMENT DOMESTIQUE- MED  (8)	Equipement	1424	23972
263	CENTRALE MATERIEL EQUIPEMENT- CME  (19)	Commerce	19649	23965
264	COMPTOIR GENERAL BÂTIMENT- COGEB	Commerce	20284	23889
265	STE TNNE LUBRIFIANTS- SOTULUB	Pétrole/Dérivés	23423	23713
266	OFFICE DEVELOPPEMENT DU NORD-OUEST	Services	20943	23702
267	STE CANAL EAUX NORD- SECADENORD	Distribution/Eaux	19166	23385
268	STE DEMCO KNITWEAR	Textile	23422	23359
269	STE REGIONALE TRANSPORT MEDENINE	Transport terrestre	21381	23200
270	EL WIFACK LEASING	Leasing		23079
271	SOCOBAT	BTP	28690	23000
272	SOCIETE TUNISIENNE DE SUCRE	I.A.A	20092	22078
273	GLE INDUSTRIE PEINTURE- SOGIP	Industrie	21650	21760
274	STE SOGES  (8)	Tourisme	29142	21333
275	STE EL HAMMAM  (12)	Tourisme	15442	20686
276	NCI  (17)	M.C.C.V	18792	20667
277	STE INDUSTRIELLE AMORTISSEURS- SIA	Industrie/Auto	22492	20644
278	LES GRANDS MOULINS DE TUNIS	I.A.A	22304	20532
279	STE COMMERCIALE TUNISIENNE- SOCOTU	Transport/Services	21604	20351
280	BENETTON COMMERCE INTERNATIONAL	Commerce/Services	22590	20059
281	STE TOURISTIQUE MANSOUR TABARKA - COGIT  (15)	Tourisme	17837	19894
282	CIE DIST ELECTROMENAGER- CDCD (WHIRLPOOL)  (15)	Commerce/Distribution	22680	19840
283	STE TOURISTIQUE EL MOURADI  (11)	Tourisme	17630	19802
284	ZITOUNA TAKAFUL	Assurances	8845	19304
285	STE NOUR DISTRIBUTION- SND	Commerce	18561	19272
286	STECOM	Equipement/Hôtellerie	20668	19070
287	CARTONNERIE TUNISIENNE	Industrie	18118	18916
288	DR.OETKER GIAS   (10)	I.A.A	17779	18576
289	MAGHREB INDUSTRIE PLASTIQUE- MAGRIPLAST	Plastique	17200	18200
